trip_id,start_time,end_time,duration,bike_type,start_station,end_station
1,2024-01-01 08:00:00,2024-01-01 08:15:00,15,classic,Station A,Station B
2,2024-01-01 09:30:00,2024-01-01 09:45:00,15,classic,Station B,Station C
3,2024-01-01 17:00:00,2024-01-01 17:20:00,20,ebike,Station C,Station A
4,2024-01-02 08:15:00,2024-01-02 08:30:00,15,classic,Station A,Station B
5,2024-01-02 09:00:00,2024-01-02 09:25:00,25,ebike,Station B,Station D
6,2024-01-02 17:30:00,2024-01-02 17:45:00,15,classic,Station D,Station A
7,2024-01-03 08:00:00,2024-01-03 08:18:00,18,classic,Station A,Station B
8,2024-01-03 09:15:00,2024-01-03 09:35:00,20,ebike,Station B,Station C
9,2024-01-03 17:00:00,2024-01-03 17:15:00,15,classic,Station C,Station A
10,2024-01-04 08:30:00,2024-01-04 08:50:00,20,ebike,Station A,Station D
11,2024-01-04 09:45:00,2024-01-04 10:00:00,15,classic,Station D,Station B
12,2024-01-04 17:15:00,2024-01-04 17:35:00,20,ebike,Station B,Station A
13,2024-01-05 08:00:00,2024-01-05 08:20:00,20,classic,Station A,Station C
14,2024-01-05 09:30:00,2024-01-05 09:50:00,20,ebike,Station C,Station D
15,2024-01-05 17:00:00,2024-01-05 17:15:00,15,classic,Station D,Station A
16,2024-01-08 08:15:00,2024-01-08 08:35:00,20,ebike,Station A,Station B
17,2024-01-08 09:00:00,2024-01-08 09:20:00,20,classic,Station B,Station C
18,2024-01-08 17:30:00,2024-01-08 17:50:00,20,ebike,Station C,Station A
19,2024-01-09 08:00:00,2024-01-09 08:25:00,25,ebike,Station A,Station D
20,2024-01-09 09:15:00,2024-01-09 09:35:00,20,classic,Station D,Station B
21,2024-01-09 17:00:00,2024-01-09 17:20:00,20,ebike,Station B,Station A
22,2024-01-10 08:30:00,2024-01-10 08:50:00,20,classic,Station A,Station C
23,2024-01-10 09:45:00,2024-01-10 10:05:00,20,ebike,Station C,Station D
24,2024-01-10 17:15:00,2024-01-10 17:35:00,20,classic,Station D,Station A
25,2024-01-11 08:00:00,2024-01-11 08:25:00,25,ebike,Station A,Station B
26,2024-01-11 09:30:00,2024-01-11 09:50:00,20,classic,Station B,Station C
27,2024-01-11 17:00:00,2024-01-11 17:20:00,20,ebike,Station C,Station A
28,2024-01-12 08:15:00,2024-01-12 08:40:00,25,ebike,Station A,Station D
29,2024-01-12 09:00:00,2024-01-12 09:20:00,20,classic,Station D,Station B
30,2024-01-12 17:30:00,2024-01-12 17:50:00,20,ebike,Station B,Station A
31,2024-01-15 08:00:00,2024-01-15 08:20:00,20,classic,Station A,Station C
32,2024-01-15 09:15:00,2024-01-15 09:40:00,25,ebike,Station C,Station D
33,2024-01-15 17:00:00,2024-01-15 17:25:00,25,ebike,Station D,Station A
34,2024-01-16 08:30:00,2024-01-16 08:50:00,20,classic,Station A,Station B
35,2024-01-16 09:45:00,2024-01-16 10:10:00,25,ebike,Station B,Station C
36,2024-01-16 17:15:00,2024-01-16 17:35:00,20,classic,Station C,Station A
37,2024-01-17 08:00:00,2024-01-17 08:25:00,25,ebike,Station A,Station D
38,2024-01-17 09:30:00,2024-01-17 09:50:00,20,classic,Station D,Station B
39,2024-01-17 17:00:00,2024-01-17 17:20:00,20,ebike,Station B,Station A
40,2024-01-18 08:15:00,2024-01-18 08:40:00,25,ebike,Station A,Station C
41,2024-01-18 09:00:00,2024-01-18 09:25:00,25,classic,Station C,Station D
42,2024-01-18 17:30:00,2024-01-18 17:55:00,25,ebike,Station D,Station A
43,2024-01-19 08:00:00,2024-01-19 08:20:00,20,classic,Station A,Station B
44,2024-01-19 09:15:00,2024-01-19 09:40:00,25,ebike,Station B,Station C
45,2024-01-19 17:00:00,2024-01-19 17:25:00,25,ebike,Station C,Station A
46,2024-01-22 08:30:00,2024-01-22 08:55:00,25,ebike,Station A,Station D
47,2024-01-22 09:45:00,2024-01-22 10:05:00,20,classic,Station D,Station B
48,2024-01-22 17:15:00,2024-01-22 17:40:00,25,ebike,Station B,Station A
49,2024-01-23 08:00:00,2024-01-23 08:25:00,25,classic,Station A,Station C
50,2024-01-23 09:30:00,2024-01-23 09:55:00,25,ebike,Station C,Station D
51,2024-01-23 17:00:00,2024-01-23 17:25:00,25,ebike,Station D,Station A
52,2024-01-24 08:15:00,2024-01-24 08:40:00,25,ebike,Station A,Station B
53,2024-01-24 09:00:00,2024-01-24 09:25:00,25,classic,Station B,Station C
54,2024-01-24 17:30:00,2024-01-24 17:55:00,25,ebike,Station C,Station A
55,2024-01-25 08:00:00,2024-01-25 08:20:00,20,classic,Station A,Station D
56,2024-01-25 09:15:00,2024-01-25 09:40:00,25,ebike,Station D,Station B
57,2024-01-25 17:00:00,2024-01-25 17:25:00,25,ebike,Station B,Station A
58,2024-01-26 08:30:00,2024-01-26 08:55:00,25,ebike,Station A,Station C
59,2024-01-26 09:45:00,2024-01-26 10:10:00,25,classic,Station C,Station D
60,2024-01-26 17:15:00,2024-01-26 17:40:00,25,ebike,Station D,Station A
